Date,popularityscore,Open,High,Low,Close,Volume,Adj Close
17-04-2017,71,887.5,910.5,887.5,898.530029,2774700,898.530029
10-04-2017,81,899.630005,911.23999,884.48999,884.669983,2936300,884.669983
03-04-2017,100,888,923.719971,885.419983,894.880005,5180600,894.880005
27-03-2017,77,838.070007,890.349976,833.5,886.539978,3381600,886.539978
20-03-2017,55,851.51001,862.799988,839.049988,845.609985,2654500,845.609985
13-03-2017,53,851.77002,855.690002,847.109985,852.309998,2360900,852.309998
06-03-2017,59,845.22998,857.349976,841.119995,852.460022,2313000,852.460022
27-02-2017,78,842.380005,854.830017,839.669983,849.880005,2460400,849.880005
21-02-2017,64,848.840027,860.859985,837.75,845.23999,3308600,845.23999
13-02-2017,68,831.619995,847.27002,828.549988,845.070007,3126500,845.070007
06-02-2017,68,809.799988,828,803,827.460022,3002400,827.460022
30-01-2017,94,833,842.48999,804,810.200012,5593400,810.200012
23-01-2017,71,806.799988,843.840027,805.080017,835.77002,3223200,835.77002
17-01-2017,55,815.700012,816.02002,803.440002,808.330017,2965600,808.330017
09-01-2017,66,798,821.650024,789.51001,817.140015,3522800,817.140015
03-01-2017,57,757.919983,799.440002,747.700012,795.98999,4446700,795.98999
27-12-2016,53,763.400024,780,748.280029,749.869995,3296300,749.869995
19-12-2016,53,758.890015,774.390015,756.159973,760.590027,2461300,760.590027
12-12-2016,64,766.400024,782.460022,754,757.77002,4446200,757.77002
05-12-2016,63,745,773.789978,742,768.659973,3477200,768.659973
28-11-2016,58,776.98999,777,736.700012,740.340027,4070600,740.340027
21-11-2016,56,766,792.400024,765.109985,780.369995,3813800,780.369995
14-11-2016,72,745.51001,767.73999,710.099976,760.159973,5116300,760.159973
07-11-2016,78,771.640015,791.73999,717.700012,739.01001,7448900,739.01001
31-10-2016,53,781.030029,800.840027,753.22998,755.049988,4947900,755.049988
24-10-2016,71,824.950012,843.090027,774.609985,776.320007,5910900,776.320007
17-10-2016,50,821.5,823.26001,803.099976,818.98999,2781900,818.98999
10-10-2016,49,843.25,845.200012,821.210022,822.960022,2777300,822.960022
03-10-2016,44,836,847.210022,830.26001,839.429993,2859800,839.429993
26-09-2016,56,801.799988,839.950012,797.150024,837.309998,4049100,837.309998
19-09-2016,47,779.969971,807.75,771,805.75,2677000,805.75
12-09-2016,45,757.349976,780.460022,756,778.52002,3459600,778.52002
06-09-2016,36,774.039978,790.789978,760.109985,760.140015,3108000,760.140015
29-08-2016,36,768.719971,776,764,772.440002,1903100,772.440002
22-08-2016,32,757.5,770,752.099976,769,1869400,769
15-08-2016,30,771.900024,772.039978,756.890015,757.309998,1883200,757.309998
08-08-2016,38,766.809998,773.75,761.02002,772.559998,1809900,772.559998
01-08-2016,41,759.869995,770.5,750.349976,765.97998,3329100,765.97998
25-07-2016,56,746.549988,766,732.75,758.809998,4503300,758.809998
18-07-2016,44,735.48999,751.280029,728.719971,744.859985,2396100,744.859985
11-07-2016,54,750,757.340027,734.049988,735.440002,3694600,735.440002
05-07-2016,39,722.799988,746.099976,719.609985,745.809998,3186100,745.809998
27-06-2016,44,692.01001,728,682.119995,725.679993,3690100,725.679993
20-06-2016,44,713.5,722.119995,692.200012,698.960022,3706500,698.960022
13-06-2016,36,714.01001,722.559998,699.179993,706.390015,3512800,706.390015
06-06-2016,38,726.5,731.5,714.210022,717.909973,2651300,717.909973
31-05-2016,41,712.330017,728.280029,711.320007,725.539978,3318800,725.539978
23-05-2016,45,704.25,716.599976,696.419983,712.23999,2717900,712.23999
16-05-2016,55,710.130005,714.469971,688.76001,702.799988,4155800,702.799988
09-05-2016,61,673.950012,722.450012,671.409973,709.919983,5447500,709.919983
02-05-2016,51,663.919983,685.5,656,673.950012,5073700,673.950012
25-04-2016,59,616.609985,669.97998,599.200012,659.590027,5491200,659.590027
18-04-2016,38,625.349976,638.01001,611.559998,620.5,3736300,620.5
11-04-2016,32,596.140015,626.77002,592.309998,625.890015,3194700,625.890015
04-04-2016,35,599,602.390015,585.25,594.599976,2682100,594.599976
28-03-2016,35,584.400024,603.23999,575.559998,598.5,3400700,598.5
21-03-2016,30,548.909973,583.549988,538.580017,582.950012,4581300,582.950012
14-03-2016,29,567,581.52002,546.090027,552.080017,4818700,552.080017
07-03-2016,31,573.539978,573.630005,547.900024,569.609985,4345000,569.609985
29-02-2016,36,554,585,552.51001,575.140015,3984700,575.140015
22-02-2016,39,542.200012,562.5,533.150024,555.22998,5050300,555.22998
16-02-2016,43,519.47998,541.200012,511.660004,534.900024,4913000,534.900024
08-02-2016,55,486.470001,516.75,474,507.079987,7294300,507.079987
01-02-2016,54,578.150024,581.799988,499.190002,502.130005,7724700,502.130005
25-01-2016,72,597.98999,638.059998,570,587,8401500,587
19-01-2016,50,577.090027,600.099976,547.179993,596.380005,5711400,596.380005
11-01-2016,60,612.47998,625.98999,565.299988,570.179993,6452600,570.179993
04-01-2016,56,656.289978,657.719971,605.210022,607.049988,6610800,607.049988
28-12-2015,39,665.559998,696.440002,665.5,675.890015,4188900,675.890015
21-12-2015,33,668.5,669.900024,656.630005,662.789978,2433200,662.789978
14-12-2015,41,641.75,682.5,635.27002,664.140015,4714100,664.140015
07-12-2015,39,674.73999,679.98999,639.619995,640.150024,4291500,640.150024
30-11-2015,50,675.900024,684.820007,661.400024,672.640015,4863400,672.640015
23-11-2015,35,671.5,682.77002,661.210022,673.26001,3398300,673.26001
16-11-2015,43,640.919983,672.859985,622.289978,668.450012,4965400,668.450012
09-11-2015,43,658.650024,675.960022,640.450012,642.349976,4694200,642.349976
02-11-2015,43,627.130005,662.26001,620.409973,659.369995,3943900,659.369995
26-10-2015,39,602.299988,630.719971,596.289978,625.900024,3950600,625.900024
19-10-2015,48,570.76001,619.450012,552.52002,599.030029,6103800,599.030029
12-10-2015,30,539.960022,570.940002,539.679993,570.76001,3709800,570.76001
05-10-2015,30,536.98999,551.5,519.890015,539.799988,3984000,539.799988
28-09-2015,23,520.02002,532.599976,490.5,532.539978,4452600,532.539978
21-09-2015,27,544.330017,549.780029,521.400024,524.25,3378900,524.25
14-09-2015,22,529.440002,546.969971,517.200012,540.26001,3715700,540.26001
08-09-2015,27,508.690002,529.950012,508.51001,529.440002,3496300,529.440002
31-08-2015,32,516.440002,519.409973,493.429993,499,3283200,499
24-08-2015,49,463.579987,522.690002,451,518.01001,6199300,518.01001
17-08-2015,32,531.289978,539.48999,494.470001,494.470001,3616200,494.470001
10-08-2015,24,528.52002,534.659973,513.059998,531.52002,2828900,531.52002
03-08-2015,27,537.450012,542.73999,518.210022,522.619995,3325500,522.619995
27-07-2015,37,527.75,544.950012,523.119995,536.150024,4657000,536.150024
20-07-2015,59,492.570007,580.570007,475.700012,529.419983,8466600,529.419983
13-07-2015,34,448.290009,485.420013,447.540009,483.01001,4141600,483.01001
06-07-2015,14,435.230011,444.720001,425.570007,443.51001,2480800,443.51001
29-06-2015,14,434.980011,440,429,437.709991,2170100,437.709991
22-06-2015,16,437,447.040009,433.690002,438.100006,2510200,438.100006
15-06-2015,18,427.660004,444.98999,422.640015,434.920013,2881300,434.920013
08-06-2015,18,425.619995,438.890015,419.140015,429.920013,2322000,429.920013
01-06-2015,16,430.399994,438.390015,426.200012,426.950012,2212300,426.950012
26-05-2015,16,426.200012,432.5,422,429.230011,2350900,429.230011
18-05-2015,21,426,436.899994,418.359985,427.630005,2638500,427.630005
11-05-2015,20,432.51001,439,424.299988,426,2493300,426
04-05-2015,23,424.799988,435.200012,414.549988,433.690002,2670800,433.690002
27-04-2015,28,443.859985,446.98999,416,422.869995,4081300,422.869995
20-04-2015,35,378.549988,452.649994,377,445.100006,7658200,445.100006
13-04-2015,20,383.529999,387.809998,374.399994,375.559998,2466200,375.559998
06-04-2015,16,370.100006,387.119995,369.359985,382.649994,2521500,382.649994
30-03-2015,14,371.869995,377.700012,368.339996,372.25,2165100,372.25
23-03-2015,16,378.070007,381.769989,365.649994,370.559998,2687300,370.559998
16-03-2015,18,370.380005,379.369995,366.700012,378.48999,2544900,378.48999
09-03-2015,16,378.399994,379.329987,366.26001,370.579987,2669800,370.579987
02-03-2015,19,380.850006,388.420013,378.880005,380.089996,2333000,380.089996
23-02-2015,19,383.440002,389.369995,376.160004,380.160004,2498300,380.160004
17-02-2015,17,377.720001,383.700012,372.670013,383.660004,3133900,383.660004
09-02-2015,21,371,383,367.200012,381.829987,2812900,381.829987
02-02-2015,26,350.049988,378.799988,350.01001,374.279999,6350800,374.279999
26-01-2015,25,311.820007,359.5,299.329987,354.529999,8333300,354.529999
20-01-2015,17,292.589996,316.929993,286.390015,312.390015,5749800,312.390015
12-01-2015,19,297.559998,301.5,285.25,290.73999,4183900,290.73999
05-01-2015,15,307.01001,308.380005,292.380005,296.929993,2922800,296.929993
29-12-2014,16,307.850006,314.75,306.579987,308.519989,2483300,308.519989
22-12-2014,14,301.940002,310.779999,301.940002,309.089996,2781200,309.089996
15-12-2014,18,308.869995,310.859985,293.029999,299.899994,6244700,299.899994
08-12-2014,23,311.570007,316.559998,301.140015,307.320007,3470200,307.320007
01-12-2014,26,338.119995,340.640015,310.839996,312.630005,3994300,312.630005
24-11-2014,17,334.779999,341.26001,331.279999,338.640015,2588600,338.640015
17-11-2014,19,326.440002,338.329987,318.029999,332.630005,3903800,332.630005
10-11-2014,20,300,332.880005,300,327.820007,4271900,327.820007
03-11-2014,19,306.23999,308.01001,292.290009,299.859985,3549900,299.859985
27-10-2014,23,285.700012,305.720001,285.019989,305.459991,5002200,305.459991
20-10-2014,31,302.950012,318.980011,284,287.059998,7751800,287.059998
13-10-2014,23,309.869995,313.200012,293.829987,303.640015,4446000,303.640015
06-10-2014,14,323.5,324.130005,311.380005,311.390015,3075600,311.390015
29-09-2014,15,320.5,325.160004,311.309998,322.73999,2848200,322.73999
22-09-2014,18,328.48999,329.48999,317.640015,323.209991,2934200,323.209991
15-09-2014,22,330.910004,332.76001,319,331.320007,4171800,331.320007
08-09-2014,17,344.540009,345.809998,326.390015,331.190002,3509800,331.190002
02-09-2014,15,339.980011,349.380005,337.160004,346.380005,2598000,346.380005
25-08-2014,20,333.209991,346.670013,332.709991,339.040009,2553200,339.040009
18-08-2014,16,335.480011,337.799988,330.799988,331.589996,2038400,331.589996
11-08-2014,14,318.480011,335,316.880005,333.630005,3328100,333.630005
04-08-2014,19,308.839996,317.320007,308.5,316.799988,2998200,316.799988
28-07-2014,27,324.25,324.820007,304.589996,307.059998,5083600,307.059998
21-07-2014,31,358.100006,364.850006,314.76001,324.01001,6557900,324.01001
14-07-2014,17,347.029999,359.679993,345.359985,358.660004,4065500,358.660004
07-07-2014,15,337.5,347,321.399994,346.200012,4106400,346.200012
30-06-2014,14,324.980011,338.299988,322.23999,337.48999,2617600,337.48999
23-06-2014,14,323.329987,329.730011,321.410004,324.570007,2534900,324.570007
16-06-2014,29,324.859985,338.899994,320.420013,324.200012,4630000,324.200012
09-06-2014,16,331.570007,340.720001,323.529999,326.269989,3670700,326.269989
02-06-2014,15,312.589996,330.880005,303.839996,329.670013,3946000,329.670013
27-05-2014,17,314.410004,314.869995,307.380005,312.549988,3553400,312.549988
19-05-2014,18,295.76001,312.350006,293.809998,312.23999,3083600,312.23999
12-05-2014,18,294.299988,305.600006,290.380005,297.700012,3698900,297.700012
05-05-2014,20,306.369995,310.230011,284.380005,292.23999,4425700,292.23999
28-04-2014,25,304,313.290009,288,308.01001,6680200,308.01001
21-04-2014,25,323.970001,337.5,302.709991,303.829987,7157900,303.829987
14-04-2014,16,317.670013,328.660004,305.5,324.910004,4569000,324.910004
07-04-2014,21,320.98999,332.179993,309.5,311.730011,6425100,311.730011
31-03-2014,23,342.399994,348.299988,315.609985,323,6261400,323
24-03-2014,19,360.089996,361.5,330.880005,338.290009,4638600,338.290009
17-03-2014,16,375.720001,379,358.399994,360.619995,3081100,360.619995
10-03-2014,18,372.690002,383.109985,363.609985,373.73999,3559900,373.73999
03-03-2014,17,358.73999,375.329987,354.480011,372.059998,2911400,372.059998
24-02-2014,18,345.190002,365.869995,343.290009,362.100006,3598000,362.100006
18-02-2014,14,355.279999,355.730011,344.380005,346.76001,4217200,346.76001
10-02-2014,16,361.609985,365,346.320007,357.350006,4190900,357.350006
03-02-2014,22,358.980011,361.799988,337.730011,361.079987,5439000,361.079987
27-01-2014,27,390.5,406.25,357.76001,358.690002,7368400,358.690002
21-01-2014,16,403,408.059998,387.269989,387.600006,3166600,387.600006
13-01-2014,19,397.980011,403.48999,388.450012,399.609985,2993900,399.609985
06-01-2014,16,395.850006,406.890015,388.420013,397.660004,2437100,397.660004
30-12-2013,18,399.410004,402.709991,392.450012,396.440002,2207900,396.440002
23-12-2013,23,403.690002,405.630005,396.25,398.079987,1973800,398.079987
16-12-2013,20,385.029999,404.720001,383.100006,402.200012,3109100,402.200012
09-12-2013,19,388.109985,389.420013,379.5,384.23999,2619700,384.23999
02-12-2013,43,399,399,381.369995,386.950012,2932600,386.950012
25-11-2013,19,373.820007,394.100006,373.179993,393.619995,2593100,393.619995
18-11-2013,18,370.279999,374.5,360.450012,372.309998,2268700,372.309998
11-11-2013,18,350.589996,372.899994,345.679993,369.170013,3205900,369.170013
04-11-2013,18,360.119995,362.869995,341.880005,350.309998,2626200,350.309998
28-10-2013,19,359.920013,366,356.100006,359,3224200,359
21-10-2013,24,329.890015,368.399994,323.799988,363.390015,5439500,363.390015
14-10-2013,16,309.220001,331.890015,305.23999,328.929993,2997800,328.929993
07-10-2013,8,315.23999,315.339996,296.5,310.890015,2643000,310.890015
30-09-2013,10,313.410004,322.920013,311.059998,319.040009,2145400,319.040009
23-09-2013,11,314.01001,319.369995,308.769989,316.01001,1914900,316.01001
16-09-2013,12,299.820007,320.570007,295.26001,316.339996,2940900,316.339996
09-09-2013,13,297.220001,302,296.200012,297.920013,1624200,297.920013
03-09-2013,10,284.730011,298.880005,284.170013,295.859985,2361200,295.859985
26-08-2013,11,290.429993,291.049988,279.329987,280.980011,1749100,280.980011
19-08-2013,11,285.190002,291.5,283.480011,290.01001,1852700,290.01001
12-08-2013,11,295.790009,299.079987,284.5,284.820007,1990600,284.820007
05-08-2013,13,303.399994,303.619995,292.549988,297.26001,2067300,297.26001
29-07-2013,13,311.070007,313,298.899994,304.209991,2726100,304.209991
22-07-2013,11,309.25,313.619995,295.549988,312.01001,4148800,312.01001
15-07-2013,10,307.269989,309.390015,301.869995,305.230011,2594400,305.230011
08-07-2013,12,286.420013,307.549988,286.140015,307.549988,3235800,307.549988
01-07-2013,9,279,286.579987,277.160004,285.880005,2371200,285.880005
24-06-2013,9,271.290009,280.200012,265,277.690002,3011100,277.690002
17-06-2013,8,276.350006,283.339996,269.790009,273.359985,3008500,273.359985
10-06-2013,10,276.679993,282.470001,270.290009,273.98999,2644700,273.98999
03-06-2013,12,268.959991,280.100006,262.950012,276.869995,3050700,276.869995
28-05-2013,8,266.480011,271.910004,264.839996,269.200012,2604000,269.200012
20-05-2013,12,269,271.790009,258.339996,261.73999,2195700,261.73999
13-05-2013,8,262.769989,269.980011,262,269.899994,2348100,269.899994
06-05-2013,9,258.089996,263.649994,252.910004,263.630005,2814600,263.630005
29-04-2013,11,254.899994,259.25,245.75,258.049988,4641400,258.049988
22-04-2013,13,259.350006,275.799988,252.809998,254.809998,5277800,254.809998
15-04-2013,8,271.079987,275.119995,256.600006,260.320007,2867600,260.320007
08-04-2013,9,255.919998,273.269989,255.630005,272.869995,2546300,272.869995
01-04-2013,8,266.980011,267.399994,253.669998,255.479996,2418300,255.479996
25-03-2013,10,258.579987,267.380005,254.5,266.48999,2570800,266.48999
18-03-2013,10,259.299988,261.48999,252.070007,257.75,3025700,257.75
11-03-2013,8,273.429993,277.399994,260.049988,261.820007,3425500,261.820007
04-03-2013,9,265.359985,276.679993,264.140015,274.190002,2601700,274.190002
25-02-2013,9,266.940002,268.690002,255.729996,265.73999,2982600,265.73999
19-02-2013,8,265.910004,274.299988,261.609985,265.420013,3286300,265.420013
11-02-2013,10,263.200012,270.649994,256.600006,265.089996,3816600,265.089996
04-02-2013,9,262.779999,268.029999,255.110001,261.950012,3672300,261.950012
28-01-2013,19,283.779999,284.480011,258.350006,265,8091300,265
22-01-2013,10,271.619995,284.720001,266.649994,283.98999,3257900,283.98999
14-01-2013,10,268,274.5,267.540009,272.119995,2698800,272.119995
07-01-2013,11,262.970001,269.730011,262.299988,267.940002,3092600,267.940002
31-12-2012,11,243.75,260.880005,242.75,259.149994,2828700,259.149994
24-12-2012,9,257.299988,259.5,242.860001,245.179993,2658700,245.179993
17-12-2012,10,249.809998,263.109985,249.259995,256.920013,3365400,256.920013
10-12-2012,9,253.100006,254.779999,246.649994,249.190002,3060800,249.190002
03-12-2012,9,252.539993,255.550003,248.660004,253.270004,2937100,253.270004
26-11-2012,10,240.389999,252.649994,238,252.050003,3815600,252.050003
19-11-2012,7,228.320007,240,227.449997,239.880005,2774700,239.880005
12-11-2012,7,226.589996,229.220001,218.179993,225.229996,3110000,225.229996
05-11-2012,6,232.039993,237.75,224.600006,226.309998,2841300,226.309998
31-10-2012,8,236.320007,238.699997,230.5,232.419998,4025800,232.419998
22-10-2012,9,238.809998,238.949997,222.919998,238.240005,6143600,238.240005
15-10-2012,7,242.850006,250.910004,238.509995,240,3633400,240
08-10-2012,8,257.670013,259.799988,241.889999,242.360001,2971100,242.360001
01-10-2012,5,255.399994,261.899994,249.029999,258.51001,2605900,258.51001
24-09-2012,6,255.220001,258.950012,248.229996,254.320007,3177600,254.320007
17-09-2012,9,261.25,262.839996,256.73999,257.470001,3226200,257.470001
10-09-2012,11,259,264.109985,253.5,261.269989,2911400,261.269989
04-09-2012,10,248.270004,259.420013,244.660004,259.140015,4248500,259.140015
27-08-2012,5,245.789993,250,243,248.270004,2887900,248.270004
20-08-2012,8,241.369995,246.869995,238.199997,245.740005,2617500,245.740005
13-08-2012,7,232.229996,243.350006,231,241.169998,3082100,241.169998
06-08-2012,6,235.559998,238,231.429993,232.75,1767300,232.75
30-07-2012,8,237,240.740005,228.660004,234.970001,3121400,234.970001
23-07-2012,7,224.720001,238.339996,214.949997,237.320007,6484300,237.320007
16-07-2012,5,216.600006,229.389999,213.960007,228.289993,3140700,228.289993
09-07-2012,4,225,227.139999,212.610001,218.389999,2495300,218.389999
02-07-2012,6,229.300003,230.5,224.179993,225.050003,2386900,225.050003
25-06-2012,6,220.300003,228.350006,218,228.350006,3108900,228.350006
18-06-2012,7,217.279999,226.029999,216.729996,222.160004,2712200,222.160004
11-06-2012,5,217.490005,220.869995,212.559998,218.350006,3150700,218.350006
04-06-2012,6,207.399994,221.490005,206.369995,218.479996,3386900,218.479996
29-05-2012,5,214.300003,216.550003,207.110001,208.220001,3916900,208.220001
21-05-2012,11,214.029999,219.979996,211.179993,212.889999,3373800,212.889999
14-05-2012,10,225.600006,230.610001,212.809998,213.850006,4761800,213.850006
07-05-2012,6,222.360001,230.679993,218.199997,227.679993,4078100,227.679993
30-04-2012,11,223.949997,233.839996,223.050003,223.990005,5949100,223.990005
